TERMINAL;NOMBRE;LATITUD;LONGITUD;TIPO
7194;SAN ANTONIO DE ARECO;-34,2441671;-59,4742651;SUCURSAL
4001;BERNARDO DE IRIGOYEN;-34,619572;-58,380145;SUCURSAL
4002;RIOBAMBA;-34,595829;-58,394702;SUCURSAL
